stimulus;aois
09_Tokyo_S1.jpg;Origin,220,717,210,237 Destination,1011,273,219,238 Nishi_shinjuku-Kagurasaka,101,347,357,343 Hanzomon-Ogawamachi,488,460,451,309 Kamiyacho-Shintomicho,565,819,681,216
16_Hong_Kong_S1.jpg;Origin,818,1006,187,186 Destination,1180,469,227,237 North_Point-Tiu_Ken_Long,1145,760,383,308 Sham_Shui_Po-Hung_Hom,800,484,292,449 Lai_King-Cheung_Sha_Wan,472,467,301,459
19_New_York_S1.jpg;Origin,151,663,146,154 Destination,328,284,170,190 50St.-14St.,176,333,146,299 6th_Av.-Bleecker_St.,333,481,234,223 Bowery-Marcy_Avenue,577,626,324,191 Park_Place-Jay_St.,321,824,617,171
20_Paris_S1.jpg;Origin,947,787,141,172 Destination,1299,268,196,203 Hotel_de_Ville-Oberkampf,991,371,291,370 Cadet-Gare_de_L'Est,663,201,315,539 Corvisart-Quai_de_la_Gare,1115,773,240,298 Rue_des_Boulets-Nation,1381,531,214,300
03_Bordeaux_S1.jpg;Origin,1095,642,152,114 Hotel_de_Ville-Place_du_Palais,1061,758,314,112 Destination,1443,986,175,176 Enghein-Quinconces,1173,323,269,285 Porte_de_Bourgogne-Stalingrad,1393,759,178,157
06_Hamburg_S1.jpg;Origin,183,275,168,142 Destination,1039,911,177,168 Holstenstrasse-Hoheluft-brucke,270,549,367,319 Altona-Stadthausbrucke,196,894,475,277 Jungfernstieg-Hauptbahnhof,686,635,349,405
07_Moskau_S1.jpg;Origin,47,326,176,129 Destination,1045,157,177,177 Arbatskaya-Borovitskaya,710,496,252,243 Kievskaya-Park_Kultury,285,457,244,233 Mayakovskaya-Chekhovskaya,681,374,279,119 Tsvetnoy_Bul'var-Trubnaya,967,337,124,115 Belorusskaya-Mendeleevskaya,665,225,361,103 Begovaya-Barrikadnaya,430,254,213,190 Kitai_Gorod-Chkalovskaya,1265,392,291,326
22_Venedig_S1.jpg;Tronchetto-Ferrovia,14,393,390,172 S.Marcuola_Casino-Rialto,451,382,370,233 San_Zaccaria,798,627,226,207 Origin,977,971,248,153 S.Marta,60,578,79,221 Destination,339,210,189,164 Spirito_Santo,463,815,227,86 Zattere,309,753,119,106 Redentore,445,919,248,89
23_Warschau_S1.jpg;Destination,320,291,195,189 Origin,1381,458,162,125 Dw.Gdanski-Wybrzeze_Helskie,780,87,431,212 Muzeum_Powstania-Pl.Zawiszy,293,586,134,232 D.H.Smyk-Waszyngtona,1013,807,305,149 Ratusz_Arsenal,702,418,221,170
