Timestamp;StimuliName;FixationDuration;MappedFixationPointX;MappedFixationPointY;user;description;aois
699432;03_Bordeaux_S1.jpg;616;1269;481;p16;color;Enghein-Quinconces
700048;03_Bordeaux_S1.jpg;1033;1306;492;p16;color;Enghein-Quinconces
701081;03_Bordeaux_S1.jpg;433;1286;463;p16;color;Enghein-Quinconces
701514;03_Bordeaux_S1.jpg;100;1290;406;p16;color;Enghein-Quinconces
701614;03_Bordeaux_S1.jpg;183;1293;444;p16;color;Enghein-Quinconces
701797;03_Bordeaux_S1.jpg;217;1297;488;p16;color;Enghein-Quinconces
702014;03_Bordeaux_S1.jpg;233;1213;595;p16;color;Enghein-Quinconces
702247;03_Bordeaux_S1.jpg;266;1178;634;p16;color
702513;03_Bordeaux_S1.jpg;133;1199;599;p16;color;Enghein-Quinconces
702646;03_Bordeaux_S1.jpg;1766;1300;490;p16;color;Enghein-Quinconces
704412;03_Bordeaux_S1.jpg;117;1366;579;p16;color;Enghein-Quinconces
704529;03_Bordeaux_S1.jpg;383;1455;879;p16;color;Porte_de_Bourgogne-Stalingrad
704912;03_Bordeaux_S1.jpg;167;1501;958;p16;color
705078;03_Bordeaux_S1.jpg;216;1510;1006;p16;color;Destination
705295;03_Bordeaux_S1.jpg;216;1432;872;p16;color;Porte_de_Bourgogne-Stalingrad
705511;03_Bordeaux_S1.jpg;200;1351;532;p16;color;Enghein-Quinconces
705711;03_Bordeaux_S1.jpg;217;1243;563;p16;color;Enghein-Quinconces
705928;03_Bordeaux_S1.jpg;383;1159;667;p16;color;Origin
706311;03_Bordeaux_S1.jpg;383;1280;521;p16;color;Enghein-Quinconces
706827;03_Bordeaux_S1.jpg;83;1281;543;p16;color;Enghein-Quinconces
706910;03_Bordeaux_S1.jpg;167;1145;765;p16;color;Hotel_de_Ville-Place_du_Palais
707244;03_Bordeaux_S1.jpg;316;1146;755;p16;color;Origin
707560;03_Bordeaux_S1.jpg;283;1150;676;p16;color;Origin
707843;03_Bordeaux_S1.jpg;633;841;560;p16;color
239691;03_Bordeaux_S1.jpg;166;1208;788;p17;color;Hotel_de_Ville-Place_du_Palais
239858;03_Bordeaux_S1.jpg;250;1143;719;p17;color;Origin
240107;03_Bordeaux_S1.jpg;167;1134;779;p17;color;Hotel_de_Ville-Place_du_Palais
240274;03_Bordeaux_S1.jpg;266;1375;815;p17;color;Hotel_de_Ville-Place_du_Palais
240541;03_Bordeaux_S1.jpg;200;1428;865;p17;color;Porte_de_Bourgogne-Stalingrad
240740;03_Bordeaux_S1.jpg;450;1396;955;p17;color
241190;03_Bordeaux_S1.jpg;183;1457;998;p17;color;Destination
241373;03_Bordeaux_S1.jpg;783;1522;1081;p17;color;Destination
242156;03_Bordeaux_S1.jpg;167;1495;1038;p17;color;Destination
242323;03_Bordeaux_S1.jpg;999;1418;842;p17;color;Porte_de_Bourgogne-Stalingrad
243322;03_Bordeaux_S1.jpg;167;1390;802;p17;color
243488;03_Bordeaux_S1.jpg;200;1182;772;p17;color;Hotel_de_Ville-Place_du_Palais
243688;03_Bordeaux_S1.jpg;517;1129;774;p17;color;Hotel_de_Ville-Place_du_Palais
244205;03_Bordeaux_S1.jpg;216;1169;654;p17;color;Origin
244421;03_Bordeaux_S1.jpg;200;1254;535;p17;color;Enghein-Quinconces
244621;03_Bordeaux_S1.jpg;450;1286;440;p17;color;Enghein-Quinconces
245071;03_Bordeaux_S1.jpg;183;1350;439;p17;color;Enghein-Quinconces
245254;03_Bordeaux_S1.jpg;217;1493;194;p17;color
245470;03_Bordeaux_S1.jpg;233;1334;425;p17;color;Enghein-Quinconces
245704;03_Bordeaux_S1.jpg;383;1274;456;p17;color;Enghein-Quinconces
246087;03_Bordeaux_S1.jpg;300;1307;476;p17;color;Enghein-Quinconces
246387;03_Bordeaux_S1.jpg;233;1349;461;p17;color;Enghein-Quinconces
246620;03_Bordeaux_S1.jpg;316;1419;793;p17;color;Porte_de_Bourgogne-Stalingrad
246936;03_Bordeaux_S1.jpg;250;1425;878;p17;color;Porte_de_Bourgogne-Stalingrad
247186;03_Bordeaux_S1.jpg;183;1493;1000;p17;color;Destination
247369;03_Bordeaux_S1.jpg;350;1508;1077;p17;color;Destination
247719;03_Bordeaux_S1.jpg;183;1378;1168;p17;color
247902;03_Bordeaux_S1.jpg;250;1393;837;p17;color;Porte_de_Bourgogne-Stalingrad
248152;03_Bordeaux_S1.jpg;166;1392;523;p17;color;Enghein-Quinconces
248319;03_Bordeaux_S1.jpg;400;1303;446;p17;color;Enghein-Quinconces
248718;03_Bordeaux_S1.jpg;383;1279;477;p17;color;Enghein-Quinconces
